2023-08-07 19:46:21,266 DEBUG epoch:29, knn_val_accu: 60.34, contrast_loss: 8.75, contrast_acc: 35.21
2023-08-07 19:46:21,270 DEBUG epoch:29, knn_val_accu: 60.34, contrast_loss: 8.75, contrast_acc: 35.21
2023-08-07 19:46:22,977 DEBUG epoch:29, knn_val_accu: 60.34, contrast_loss: 8.75, contrast_acc: 35.21
2023-08-07 19:47:38,162 DEBUG epoch:30, knn_val_accu: 60.68, contrast_loss: 8.75, contrast_acc: 34.94
2023-08-07 19:47:38,569 DEBUG epoch:30, knn_val_accu: 60.68, contrast_loss: 8.75, contrast_acc: 34.94
2023-08-07 19:47:40,166 DEBUG epoch:30, knn_val_accu: 60.68, contrast_loss: 8.75, contrast_acc: 34.94
2023-08-07 19:48:55,036 DEBUG epoch:31, knn_val_accu: 59.98, contrast_loss: 8.75, contrast_acc: 35.46
2023-08-07 19:48:55,116 DEBUG epoch:31, knn_val_accu: 59.98, contrast_loss: 8.75, contrast_acc: 35.46
2023-08-07 19:48:56,745 DEBUG epoch:31, knn_val_accu: 59.98, contrast_loss: 8.75, contrast_acc: 35.46
2023-08-07 19:50:10,500 DEBUG epoch:32, knn_val_accu: 60.67, contrast_loss: 8.74, contrast_acc: 35.72
2023-08-07 19:50:10,683 DEBUG epoch:32, knn_val_accu: 60.67, contrast_loss: 8.74, contrast_acc: 35.72
2023-08-07 19:50:12,189 DEBUG epoch:32, knn_val_accu: 60.67, contrast_loss: 8.74, contrast_acc: 35.72
2023-08-07 19:51:26,295 DEBUG epoch:33, knn_val_accu: 61.02, contrast_loss: 8.74, contrast_acc: 35.47
2023-08-07 19:51:26,536 DEBUG epoch:33, knn_val_accu: 61.02, contrast_loss: 8.74, contrast_acc: 35.47
2023-08-07 19:51:28,034 DEBUG epoch:33, knn_val_accu: 61.02, contrast_loss: 8.74, contrast_acc: 35.47
2023-08-07 19:52:42,859 DEBUG epoch:34, knn_val_accu: 61.06, contrast_loss: 8.74, contrast_acc: 35.26
2023-08-07 19:52:43,249 DEBUG epoch:34, knn_val_accu: 61.06, contrast_loss: 8.74, contrast_acc: 35.26
2023-08-07 19:52:44,859 DEBUG epoch:34, knn_val_accu: 61.06, contrast_loss: 8.74, contrast_acc: 35.26
2023-08-07 19:53:58,301 DEBUG epoch:35, knn_val_accu: 61.01, contrast_loss: 8.74, contrast_acc: 35.47
2023-08-07 19:53:58,308 DEBUG epoch:35, knn_val_accu: 61.01, contrast_loss: 8.74, contrast_acc: 35.47
2023-08-07 19:53:59,851 DEBUG epoch:35, knn_val_accu: 61.01, contrast_loss: 8.74, contrast_acc: 35.47
2023-08-07 19:55:13,993 DEBUG epoch:36, knn_val_accu: 60.99, contrast_loss: 8.74, contrast_acc: 35.53
2023-08-07 19:55:14,283 DEBUG epoch:36, knn_val_accu: 60.99, contrast_loss: 8.74, contrast_acc: 35.53
